"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
Heag 00,Ernemann ,Фотоаппарат,1919,,Германия,Дрезден,452,,,270870,556,150x110x45,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,9x12,110,Пластина,,Doppel-Objectiv Serie A,176763,,,,,,,,,
Heag IV,Ernemann ,Фотоаппарат,1925,,Германия,Дрезден,453,,,1267193,,,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,9х12,140,Пластина,Cronos >Д<,Doppel-Anastigmat,140771,"1:6,8",13.5,,,,,,,
JRIS cine,,Экспонометр,,,Германия,,454,,,,73,50х40х25,,,,,,,,,,,,,,,,,,,
Belfoca I,BELKA,Фотоаппарат,1951,,Германия,Дрезден,455,,,83323,590,150x85x40,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,6х9,70,Пленка,Prontor-S,Meritar,980852,"1:4,5",10.5,,,,,,,
Ica Bebe,Ica,Фотоаппарат,1911,1925,Германия,Дрезден,456,,,,468,95x65x25,"Однообъективный, горизонтальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,"4,5x6",45,Пластина,Compound,Triotar,755871,"1:3,5",7.5,,,,,,,
Junior 620,Kodak,Фотоаппарат,1937,,Германия,Штутгарт,457,,,,526,150x75x30,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,6х9,65,Пленка,,Kodak-Anastigmat,,"1:7,7",10.5,,,,,,,
Brillant ,Voigtlander,Фотоаппарат,1932,,Германия,,458,,,,543,120x90x85,"Однообъективный, вертикальный",Бокс,"Алюминий, кожа, сталь",Форматная,6х6,,Пленка,,Anastigmat Voigtar,,"1:6,3",7.5,,,,,,,
,Rodenstock,Фотоаппарат,,,,,459,,,,644,155x80x35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,6х9,60,Пленка,Ibsor,"Anastigmat ""Skopar""",469681,"1:4,5",10.5,,,,,,,
,Kamera-Werkstätten,Фотоаппарат,1920,,Германия,,460,,,24939,705,160x115x35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,9x12,220,Пластина,Compur,"""Ортагоз""",321645,"1:4,5",13.5,,,,,,,
Kodak Fill № 120,Kodak,Фотоаппарат,1910,,США,,461,,,,516,165x80x35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,6x9,85,Пленка,,,20498,,,,,,,,,
Свердловск-4,Уральский оптико-механический завод,Экспонометр,1970,1980,СССР,Свердловск,462,,,,118,90х50х20,,,,,,,,,,,,,,,,,,,
HEAG I,Ernemann ,Фотоаппарат,1891,1906,Германия,Дрезден,463,,,,729,150х115х70,"Однообъективный, горизонтальный",С раздвижным мехом,"Дерево, кожа, медь",Форматная,9х12,60,Пластина,,,,,,,,,,,,
 Plate camera,Wanderer Laack Schne.Rathenow,Фотоаппарат,1900,,,,464,,,,1295,180x130x45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,9x12,110,Пластина,Compur,"""Dialytar"" Serie T",58879,"1:4,5",16.5,,,,,,,
PRIMAR,Kamera Werkstatten,Фотоаппарат,1932,,Германия,Дрезден,465,,,,788,160x115x35,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,9x12,220,Пластина,Compur,Tessar,692882,"1:4,5",13.5,,,,,,,
Ленинград,Завод Вибратор,Экспонометр,1957,,СССР,,466,,,208283,149,70х45х20,,,Пластмасса,,,,,,,,,,,,,,,,
Le jockey,,Бинокль,,,Франция,Париж,467,,,,420,115x115x50,,,"Стекло, кожа, сталь",,,,,,,,,,,,,,,,
Театральный,,Бинокль,,,,,468,,,,90,70х100х40,,,"Стекло, алюминий, пластик",,,,,,,,,,,,,,,,
Театральный бинокль,,Бинокль,,,,,469,,,,182,115х115х40,,,"Стекло, кожа, медь",,,,,,,,,,,,,,,,
Полевой Бинокль,,Бинокль,,,,,470,,,,226,226х115х55,,,"Алюминий, кожа",,,,,,,,,,,,,,,,
Загорский,Загорский завод школьного приборостроения,Диапроектор ,,,CCCР,,475,,,,,320х180х270,,,"Сталь, пластик",,,,,,Триплет,,1:3,10.5,,,,,,,
Фтоснайпер 12,"КМЗ, Красногорский завод им. С. А. Зверева",Фотоаппарат,1982,,СССР,Красногорск,476,,,843093,3165,570х230х135,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик, сталь",Малоформатный,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,Таир - 3С,9001153,"1:4,5",30,,,,,,,
Aplanatrapid №2,,Фотоаппарат,1890,1910,,,477,,,,1963,340х260х90,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, медь",Форматный,12х18,240,Пластина,,Aplanatrapid №2,2593,1:7,21.0,,,,,,,
Bergheil,Zeiss Ikon,Фотоаппарат,1925,,Германия,,478,,,,882,125x100x50,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,9x12,90,Пластина,Compur,Dom.inar-Anastigmat,892516,"1:4,5",10.5,,,,,,,
Зенит-Е,Вилейский завод,Фотоаппарат,1965,1982,СССР,,479,,,,923,140х90х100,"Однообъективный, вертикальный",Жесткий,"Алюминий, эбонит",Малоформатный,"2,4х3,6",,Пленка,,Helios-44-2,79357258,1:2,5.8,,,,,,,
Avus,Voigtlander,Фотоаппарат,1914,1935,Германия,,480,,,,657,120x85x45,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,6x9,170,Пластина,Ibsor,"Anastigmat ""Skopar""",328231,"1:4,5",10.5,,,,,,,
Doppel-Anastigmat,Zeiss Ikon,Фотоаппарат,,,Германия,,481,,,,1111,180х150х50,"Однообъективная, горизонтальная",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,9x12,110,Пластина,Compur,Doppel-Anastigmat Eurynar,"258646
350239","1:6,8",16.5,,,,,,,
Ideal 225,Ica,Фотоаппарат,1920,,Германия,Дрезден,482,,,,1215,160x120x50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,6х9,90,Пластина,Compur,Tessar,"556922
258646","1:4,5",13.5,,,,,,,
ФЭД 5в,"з-д ФЭД, им. Фэликса Эдмундовича Дзержинского",Фотоаппарат,1975,1990,СССР,Харьков,483,,,356431,746,135х90х75,"Однообъективная, горизонтальная",Жесткий,"Алюминий, эбонит",Малоформатный,"2,4х3,6",,Пленка,,И-61Л/Д,9306963,"1:2,8",5.5,,,,,,,
Фотоцвет-4,Славич,Другое,1986,,СССР,,484,,,4278,131,155х105х20,,,Бумага,,,,,,,,,,,,,,,,
Фото бумага,"Ленинградский завод светочувствительных материалов ""Позитив""",Другое,1991,,СССР,,485,,,41936,483,250х185х20,,,,,,,,,,,,,,,,,,,
Фото бумага,"Ленинградский завод светочувствительных материалов ""Позитив""",Другое,1991,,СССР,,486,,,41936,483,250х185х20,,,,,,,,,,,,,,,,,,,
Альбом для фотографий,,Другое,1901,,СССР,,487,,,,394,250х170х15,,,,,,,,,,,,,,,,,,,
Резак для бумаги,,Другое,,,,,488,,,,358,195х75х35,,,,,,,,,,,,,,,,,,,
Зоркий,Красногорский завод им. С. А. Зверева,Фотоаппарат,1948,1956,СССР,"Красногорск, МО",495,,,542452,730,130х75х45,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Малоформатная,"2,4x3,6",,Плёнка типа 135 (35-мм фотоплёнка),,,,"1:3,5",5,"под этим номером в витрине книга, перенумеровать описать",,,,,,
Ленинград типа Ю11,Завод Вибратор,Экспонометр,1957,,СССР,,496,,,208283,150,65х45х20,,,Бакелит,,,,,,,,,,,,,,,,
Ленинград 2 Ю11/2,Завод Вибратор,Экспонометр,,,СССР,,497,,,370576,80,52х70х22,,,,,,,,,,,,,,,,,,,
Шведские бромосеребряные открытки,Акц. О:во Гранберг в Стокгольме,Набор трафаретов,,,Швеция,,498,,,,,150х100х30,,,,,,,,,,,,,,,,,,,
,Лампа для проявки фотографий,Другое,,,СССР,,502,,,,597,150х120х120,,,,,,,,,,,,,,,,,,,
,Фотовспышка ,Другое,,,СССР,,503,,,,283,160х90х30,,,,,,,,,,,,,,,,,,,
,Фотовспышка,Другое,,,СССР,,504,,,,121,160х90х30,,,,,,,,,,,,,,,,,,,
Loeber,Reisekamera,Фотоаппарат,1890,,Германия,,505,,,,1622,240x170х60,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, сталь, ткань",Форматный,12x18,410,Пластина,,Hugo Meyer,,,,,,,,,,
Dresden A1,Kamera werkstatten,Фотоаппарат,1920,1938,Германия,,506,,,,780,160х110х20,"Однообъективный, вертикальный",С раздвижным мехом,"Алюминий, кожа, сталь",Форматная,6x9,95,Пластина,Compur,Kreuznach,"158220
258646","1:4,5",13.5,,,,,,,
Baron seguire,Balgenkamera,Фотоаппарат,1839,,,,507,,,,578,120x10x50,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,6x9,120,Пластина,Vario,Doppel-Anastigmat ,,"1:6,3",10.5,,,,,,,
Niklas 109,Ica,Фотоаппарат,1920,,Германия,,508,,,,870,130х90х75,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,6x9,160,Пластина,Compur,Tessar,"697021
394780","1:4,5",12.0,,,,,,,
Чайка,Музфонд Производственный Комбинат,Стереоскоп (набор),1960,,СССР,Москва,509,,,,,110х110х10,,,Картон,,,,,,,,,,,,,,,,
Киев 30,Арсенал,Фотоаппарат,1975,1987,СССР ,Киев,510,,,8295230,179,85х45х25,"Однообъективный, горизонтальный",Жесткий,Алюминий,Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,"Индустар М 3,5/24",,"1:3,5","2,3",,,,,,,
 Delta 3200 (black & white film),Ilford,Фотопленка,1998,,Англия,,511,,,,,,,,,,,,,,,,,,,,,,,,
Harman technology SFX 200 (black & white film),Ilford,Фотопленка,,,Англия,,512,,,,,,,,,,,,,,,,,,,,,,,,
Fortepan 100,Forte,Фотопленка,2008,,Венгрия,,513,,,,,,,,,,,,,,,,,,,,,,,,
Superia x-tra 400 ,Fujifilm,Фотопленка,,,Япония,,514,,,,,,,,,,,,,,,,,,,,,,,,
Professional BW 400 CN,Kodak,Фотопленка,2007,,США,,515,,,,,,,,,,,,,,,,,,,,,,,,
Смена Символ,ЛОМО,Фотоаппарат,1971,1991,СССР ,Ленинград,516,,,,382,110х80х60,"Однообъективный, горизонтальный",Жесткий,"Алюминий, пластик",Малоформатная,"2,4×3,6",,Плёнка,,Триплет «Т-43»,,1:4,16,"под этим же номером книга в витрине 3 с бабочкой, заменить на ней номер и описать",,,,,,
Miroflex,Zeiss Ikon,Фотоаппарат,1926,1936,США,,517,,,,2252,175х280х70,"Однообъективный, горизонтальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,9х12,80,Пластина,,Tessar,544640,"1:4,5",15.0,"под этим же номером открытки , перенумеровать их и описать",,,,,,
Onestep close-up,Polaroid  Совместном предприятии «Светозор»,Фотоаппарат,1989,1990,СССР ,Москва,518,,,,644,120×95×145,"Однообъективный, горизонтальный",Жесткий,Пластмасса,Форматная,8x8,,фотоматериал «Polaroid 600 film»,,,,1:4,10.0,"под этим номером в витрине есть фотобумага, перенумеровать и описать",,,,,,
"Шпионский ""Сигареты Славутич""",Арсенал,Фотоаппарат,,,СССР,Киев,519,,,,201,85х55х25,"Однообъективная, горизонтальная",Жесткий,"Алюминий, пластик",Микроформатная,"1,3х1,7",,Плёнка типа 110 (16-мм фотоплёнка),,Индустар М,,"1:3,5","2,3","нет фото ,залить на сайт",,,,,,
Смена Символ,ЛОМО,Фотоаппарат,1971,1991,СССР ,Ленинград,520,,,,382,110х80х60,"Однообъективный, горизонтальный",Жесткий,"Алюминий, пластик",Малоформатная,"2,4×3,6",,Плёнка,,Триплет «Т-43»,,1:4,16,"под этим номером в витрине есть еще фотобумага, перенумеровать и описать",,,,,,
Minimal,Koilos,Фотоаппарат,1912,,Германия,,521,,,,753,145x115x40,"Однообъективный, вертикальный",С раздвижным мехом,"Дерево, кожа, сталь",Форматная,6x9,,Пластина,,Mars-Anastigmat,,,,,,,,,,
Набор химикатов,Ступинский химический завод,Другое,1990,,Россия,Ступино,524,,,,,,,,,,,,,,,,,,,,,,,,
Фиксаж кислый,Ступинский химический завод,Другое,1992,,Россия,Ступино,525,,,,,,,,,,,,,,,,,,,,,,,,
Метоловый мелкозернистый проявитель,Ступинский химический завод,Другое,1992,,Россия,Ступино,526,,,,,,,,,,,,,,,,,,,,,,,,
Метоловый мелкозернистый проявитель Стандартный №2,Ступинский химический завод,Другое,1993,,Россия,Ступино,527,,,,,,,,,,,,,,,,,,,,,,,,
"Стандарт титры (фиксалы, нормадозы)",Завод РИАЛ,Другое,1979,,СССР ,Киев,528,,,,,,,,,,,,,,,,,,,,,,,,
Ansco (Shur Shot),Agfa,Фотоаппарат,1948,,США,Нью-Йорк,529,,,,370,125х100х80,Бокс,Жесткий,"Алюминий, кожа",Форматная,6x9,,Плёнка,,,,1:6,13.0,,,,,,,
